main_id;alias_id;note
AUS00008;NZL00020;ATKINS Frances
AUS00008;AUS00004;ATKINS Frances
CRO00066;CRO00023;GRDISA Maja
CRO00068;CRO00047;OBOROVECKI Helena
CRO00055;CRO00028;MRNJAVCIC PEREGLIN Valentina
CRO00064;CRO00018;ODLESIC KACAVENDA Tihana
SWE00058;FIN00052;ARNS Marja-Liisa
SWE00058;SWE00064;ARNS Marja-Liisa
SWE00037;FIN00055;KAMMONEN Osmo
FRA00589;FRA00017;REGNIEZ Melanie
FRA00037;FRA00014;RICHARD SEGUIN Anne
GER00072;GER00071;BENZIG-GEHRIG Doris
SUI00023;GER00042;HENNE Andreas
GER00074;GER00052;POSER-KEPPLER Katja
GER00037;GER00025;MOCH Christine
GER00024;GER00012;POTH Elke
HUN00018;HUN00031;BARANYINE TOTH Erzsebet
HUN00025;HUN00023;BIHARINE GABRIEL Emese
HUN00032;HUN00022;KARPATI Krisztina
HUN00026;HUN00012;TOROKNE ZSOTER Judit
TPE00035;TPE00017;WANG CHEN Hsiu-Yu
SUI00023;GER00192;HENNE Andreas
GER00113;AUT00014;SCHWARZ-MULLER Bettina
GER00113;GER00110;SCHWARZ-MULLER Bettina
BEL00006;BEL00026;VAN DE WIELE Peter
CZE00039;CZE00141;HAJNY Martin
CZE00039;CZE00142;HAJNY Martin
CZE00044;CZE00140;VYSKOCIL Denis
FRA00123;FRA00480;ALEXANDRE Benoit
GER00046;GER00172;BESSERT Benjamin
FRA00148;FRA00481;BIGNAULT Steven
FRA00157;FRA00483;BONNOT Jean-Pierre
GER00055;GER00195;BOSCH Robin
FRA00163;FRA00484;BOURGES Laurent
FRA00020;FRA00485;CARLOT Didier
FRA00081;FRA00486;CHAUVELOT Justine
FRA00062;FRA00487;CHAUVELOT Laura
FRA00203;FRA00488;COQUILLON Cindy
FRA00207;FRA00489;CUSTODIO Brigitte
FRA00074;FRA00490;DELAFAITE Patrick
FRA00074;FRA00491;DELAFAITE Patrick
FRA00121;FRA00492;DELRUE Michael
FRA00056;FRA00493;DEWICKI Zoe
FRA00059;FRA00494;DIEHL Corentin
